1;Sound View Park Mobile Food Truck;American;Lafayette Ave., btwn. Boynton Ave. and Colgate Ave.;10;5;9:00;20:00;1
2;Waterbury Playground Mobile Food Truck;American;Bradford, Edison, Lasalle & Waterbury avenues;10;3;9:00;20:00;5
3;Florence Colucci Playground Mobile Food Truck;American;Wilkenson & Mayflower Avenues;10;2;9:00;20:00;8
4;Devoe Park Mobile Food Truck;American;West Fordham Road & University Avenue;10;4;9:00;20:00;6
5;Vinmont Veteran Park Mobile Food Truck;American;254th Street to 256th Street & Mosholu Avenue to Riverdale;10;5;9:00;20:00;9
6;Bronx River Houses Playground Mobile Food Truck;American;Entrance at E. 174th Street, Bronx River Ave.;10;1;9:00;20:00;7
7;P.S. 106 Playground Mobile Food Truck;American;St. Raymond Avenue between O'dell & Purdy streets;10;3;9:00;20:00;10
8;Alfred Loreto Park Mobile Food Truck;American;Van Nest Avenue between Tomilson & Haight streets;10;2;9:00;20:00;5
9;Matthew & Muliner Playground Mobile Food Truck;American;Either Matthews Avenue or Muliner Avenue, Parkside;10;5;9:00;20:00;6
10;Haffen Park Mobile Food Truck;American;Burk, Ely & Gunter Avenues;10;4;9:00;20:00;7
