1,American Folk Art Museum,Folk,9,10:00,22:00,10
2,American Museum of Natural History,Science,0,10:00,22:00,7
3,Asia Society and Museum,Culture,10,10:00,22:00,5
4,The Bronx Museum of the Arts,Art,5,10:00,22:00,9
5,Bronx Zoo,Zoo,15,10:00,22:00,7
6,Brooklyn Botanic Garden,Science,8,10:00,22:00,1
7,Brooklyn Children's Museum,Children,7.5,10:00,22:00,1
8,Brooklyn Museum,Culture,0,10:00,22:00,2
9,Children's Museum of Manhattan,Children,10,10:00,22:00,3
10,The Cloisters Museum & Gardens,Art,0,10:00,22:00,5
